,f1,acc,recall,prec
BF_1,0.83,0.82,0.83,0.83
BF_2,0.48,0.78,0.7,0.37
BF_3,0.73,0.83,0.77,0.69
CHH_1,0.74,0.83,0.81,0.69
CHH_2,0.65,0.63,0.8,0.55
CHH_3,0.68,0.79,0.79,0.59
EMP_1,0.69,0.72,0.72,0.66
EMP_2,0.71,0.76,0.86,0.61
EMP_3,0.76,0.87,0.85,0.69
FC_1,0.85,0.84,0.85,0.84
FC_2,0.6,0.78,0.82,0.47
FC_3,0.8,0.89,0.88,0.73
MSL_1,0.78,0.88,0.92,0.68
MSL_2,0.47,0.57,0.8,0.33
MSL_3,0.86,0.86,0.84,0.88
MSW_1,0.55,0.78,0.83,0.41
MSW_2,0.82,0.83,0.87,0.78
MSW_3,0.79,0.82,0.84,0.74
