,f1,acc,recall,prec
BF_1,0.79,0.75,0.84,0.74
BF_2,0.36,0.66,0.64,0.25
BF_3,0.66,0.79,0.71,0.62
CHH_1,0.65,0.76,0.74,0.58
CHH_2,0.58,0.57,0.68,0.5
CHH_3,0.59,0.67,0.85,0.45
EMP_1,0.61,0.61,0.74,0.53
EMP_2,0.69,0.73,0.86,0.57
EMP_3,0.7,0.85,0.73,0.67
FC_1,0.79,0.75,0.88,0.72
FC_2,0.46,0.63,0.78,0.33
FC_3,0.75,0.85,0.83,0.68
MSL_1,0.64,0.75,0.94,0.49
MSL_2,0.44,0.56,0.72,0.31
MSL_3,0.8,0.8,0.75,0.86
MSW_1,0.36,0.58,0.74,0.24
MSW_2,0.74,0.74,0.84,0.66
MSW_3,0.77,0.81,0.77,0.76
