,f1,acc,recall,prec
BF_1,0.78,0.74,0.81,0.75
BF_2,0.5,0.81,0.66,0.41
BF_3,0.64,0.79,0.64,0.65
CHH_1,0.65,0.78,0.68,0.62
CHH_2,0.65,0.63,0.8,0.55
CHH_3,0.56,0.7,0.7,0.47
EMP_1,0.66,0.69,0.73,0.61
EMP_2,0.67,0.73,0.79,0.58
EMP_3,0.61,0.76,0.77,0.5
FC_1,0.83,0.82,0.83,0.82
FC_2,0.58,0.75,0.84,0.44
FC_3,0.66,0.82,0.67,0.65
MSL_1,0.59,0.73,0.79,0.46
MSL_2,0.46,0.62,0.66,0.35
MSL_3,0.72,0.73,0.65,0.8
MSW_1,0.53,0.78,0.79,0.4
MSW_2,0.72,0.73,0.8,0.66
MSW_3,0.64,0.71,0.64,0.64
