NTL ONLY,,,,,,MODIS ONLY,,,,,,NTL + MOIDS,,,,,,,NTL ONLY,MODIS ONLY,NTL and MODIS,,,,,,,,,,,,,,,,,,,,,
,f1,acc,recall,prec,,,f1,acc,recall,prec,,,f1,acc,recall,prec,,,"f1 , acc","f1 , acc","f1 , acc",,,,,,,,,,,,,,,,,,,,,
,,0.83,0.82,"0.83 , 0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.48,0.78,"0.48 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.73,0.83,"0.73 , 0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.74,0.83,"0.74 , 0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.65,0.63,"0.65 , 0.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.68,0.79,"0.68 , 0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.69,0.72,"0.69 , 0.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.71,0.76,"0.71 , 0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.76,0.87,"0.76 , 0.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.85,0.84,"0.85 , 0.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.6,0.78,"0.6 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.8,0.89,"0.8 , 0.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.78,0.88,"0.78 , 0.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.47,0.57,"0.47 , 0.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.86,0.86,"0.86 , 0.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.55,0.78,"0.55 , 0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.82,0.83,"0.82 , 0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.79,0.82,"0.79 , 0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
