modi,,,,,,ntl,,,,,,ntl+modis,,,,,,,ntl,modi,ntl+modis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"f1 , acc","f1 , acc","f1 , acc",,,,BF_1,BF_2,BF_3,CHH_1,CHH_2,CHH_3,EMP_1,EMP_2,EMP_3,FC_1,FC_2,FC_3,MSL_1,MSL_2,MSL_3,MSW_1,MSW_2,MSW_3
,f1,acc,recall,prec,,,f1,acc,recall,prec,,,f1,acc,recall,prec,,BF_1,"0.776 , 0.725","0.778 , 0.743","0.834 , 0.816",,ntl,"f1 , acc","0.776 , 0.725","0.324 , 0.578","0.663 , 0.797","0.634 , 0.747","0.567 , 0.525","0.585 , 0.672","0.609 , 0.578","0.646 , 0.66","0.682 , 0.84","0.789 , 0.748","0.41 , 0.544","0.745 , 0.858","0.634 , 0.747","0.451 , 0.556","0.79 , 0.794","0.362 , 0.583","0.7 , 0.681","0.743 , 0.796"
MSW_1,0.534,0.779,0.789,0.403,,MSW_1,0.362,0.583,0.737,0.24,,MSW_1,0.551,0.785,0.821,0.415,,MSW_2,"0.7 , 0.681","0.723 , 0.73","0.801 , 0.816",,,,,,,,,,,,,,,,,,,,,
MSW_2,0.723,0.73,0.801,0.659,,MSW_2,0.7,0.681,0.847,0.597,,MSW_2,0.801,0.816,0.843,0.764,,MSW_3,"0.743 , 0.796","0.637 , 0.711","0.77 , 0.807",,,,,,,,,,,,,,,,,,,,,
MSW_3,0.637,0.711,0.636,0.638,,MSW_3,0.743,0.796,0.742,0.745,,MSW_3,0.77,0.807,0.809,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f1,acc,"f1 , acc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.834,0.816,"0.834 , 0.816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.502,0.785,"0.502 , 0.785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.731,0.831,"0.731 , 0.831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.745,0.836,"0.745 , 0.836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.65,0.632,"0.65 , 0.632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.683,0.799,"0.683 , 0.799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.681,0.718,"0.681 , 0.718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.714,0.76,"0.714 , 0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.76,0.875,"0.76 , 0.875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.846,0.833,"0.846 , 0.833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.613,0.782,"0.613 , 0.782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.799,0.885,"0.799 , 0.885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.782,0.878,"0.782 , 0.878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.493,0.611,"0.493 , 0.611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.85,0.85,"0.85 , 0.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.551,0.785,"0.551 , 0.785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.801,0.816,"0.801 , 0.816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.77,0.807,"0.77 , 0.807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
