DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Jhansi,166,1.592032197,0,0.179720801,0,2.109659875,2.990254772,3.150388953,1.995921261,21.1,0,1.594879877,0.233668622,4960,64.7,2.041626386,0,0.422351816
Lalitpur,167,113,0.189512704,2.468783971,0,35.1,15.6,15.7,3.619005182,417,0.059072596,14.5,3.875198124,4340,10.6,68.9,0,3.065977837
Hamirpur,168,2.595628275,0,0,0,0,0,1.253870638,17.1,2.794676959,0,10.6,1.255894924,4150,65.6,2.497192819,0,3.874511224
Mahoba,169,1.845625112,0,0,0,0.846699273,0.58514293,3.451035118,0.756055381,11.8,0.180109722,1.782754439,1.727329091,2810,19.8,14.6,0,1.819122847
Chhatarpur,425,1.075595961,0,0.226161099,0,43.3,23.3,1.720020414,11.5,1510,0,33.1,0.416159871,6860,13.2,177,0,1.728808859
Sagar,427,0.182280713,0,0,0,37.3,25.1,2.374766602,5.119747043,2770,0,8.081073336,0.19102813,6730,66.5,608,0,3.153447805
Damoh,428,0,0,0,0,8.471765927,10.7,2.825841299,60.7,2690,0,153,0,3730,12.9,685,0,0.18237752
Raisen,446,39.2,0,0.558658622,0,38.5,121,13.6,4.182905386,2740,0,5.264823676,7.962080015,4800,29.6,689,0,2.196604296
Vidisha,443,0.87311783,0,0,0,22.1,14.1,1.154643166,0,375,0,0.190876999,0.370820213,6840,27.6,21.1,0,0.205797585
Ashoknagar,459,58.7,0.181017383,0.352985426,0,9.61951773,6.178622087,3.350781992,12.7,438,0.641435123,29.1,2.035711093,3850,12.5,297,0,0.88600703
Bhopal,444,16,0,0,0,2.932904304,14.6,7.170088555,2.568862893,230,0.23740693,2.870941014,3.625880291,2190,144,103,0,3.459030915
Harda,448,5.87402028,0,0.510409648,0,12.7,203,11.4,0.230621416,915,0.067976604,3.069378197,0.63866734,2070,12.1,77,0,0.984572122
Hoshangabad,449,70.5,0.183966826,1.333568979,0,310,984,29,12.1,1360,3.457371732,8.068072055,17,3780,23.7,112,0,1.791976118
Betul,447,2.811520215,0,0,0,50.4,865,6.323419307,4.565812355,4490,2.404442241,2.17742716,3.04193373,3880,18,741,0,4.089887858
Chhindwara,455,22.6,0,0,0,63.2,521,3.442203319,4.059344018,5590,1.792632053,4.553807931,7.105215081,4380,45.4,1160,0,0
Narsimhapur,452,0,0,0,0,37.7,186,0.192209952,0.333758442,1180,0.366197881,2.001669645,0,3530,42.2,169,0,0
Jabalpur,451,45.4,0,0.228661367,0,23.4,113,2.152321852,0.834800908,1320,0.228289614,1.262522207,0.68548605,3360,116,117,0,5.851075448
Seoni,456,74,0,1.06599543,0,217,771,22.7,2.187544863,3080,1.994540899,6.152787299,6.747494535,3970,44.6,549,0,6.898822495
Mandla,454,54,0.229311973,1.559188916,0,532,746,21.8,9.804594891,4960,2.689464486,5.912036529,6.456235638,837,10,354,0,6.316266005
Balaghat,457,0,0,0,0,1520,1560,0.701075783,1.891409214,2910,17.9,3.513417244,1.203566289,2550,10.6,681,0,0
Dindori,453,0,0,1.341599586,0,498,550,0.94825511,0.237865792,2880,0.606312328,0.237705885,0,1580,1.47489188,195,0,0
Katni,450,5.793882477,0,0,0,149,125,3.372960874,8.482045803,1030,0.455149907,19.2,0.181966333,3410,24.6,283,0,0.185364602
Umaria,431,23.1,0.002387837,0.182592202,0,150,389,2.837298059,31.9,2250,2.196929682,58,3.309412169,1220,7.741330319,442,0,2.843719984
Panna,426,0,0,0,0,122,50.8,0.659382929,57.3,2860,0.144966321,143,0,3470,3.744038103,386,0,0
Satna,429,82,0.273562795,0.178434765,0,91.5,32.8,5.099611865,27.7,1260,0.832395898,79.2,5.858754225,5590,23.9,289,0,3.562409422
Banda,170,0,0,0,0,1.650258528,0.295322898,0.259541742,11.8,5.994789542,0,11.2,0,4430,71.8,0.313490948,0,0.053698496
Chitrakoot,171,0.243221008,0,0,0,123,22.7,0.864807108,12.1,342,0,36.9,0,2500,8.528139612,31.2,0,0.639273556
Shahdol,460,66.8,0.096332634,0.421215412,0,42.2,83.1,7.537779053,57.2,1650,0.641011478,62.2,1.8072478,2700,15.5,993,0,2.690351092
Sidhi,462,0,0,0,0,155,232,2.500500137,24.7,971,2.511760703,41.4,0,3110,1.033479109,231,0,0.461932143
Rewa,430,0.689197898,0,0,0,79,17.9,1.040247612,39,345,0,107,0,5610,13.8,94.2,0,0
Kaushambi,174,0,0,0,0,0,0,0.313521268,25.1,0,0,36.6,0,1940,25.8,3.092115036,0,1.770973667
Allahabad,175,0,0,0,0,2.784964914,0.234906598,0.387640388,50.1,3.72679654,0,52.3,0,5000,93.9,7.186120146,0,2.483698983
Sant Ravi Das Nagar(bhadohi),198,0,0,0,0,0,0,0,6.509200111,0,0,13,0,963,21.3,0.285413838,0,3.780881699
Mirzapur,199,12.2,0,0,0,2.312340175,0.180934614,3.657104832,45.4,185,0,94.7,0.406653911,4020,36.4,104,0,6.347740362
Singrauli,463,36.6,0,0,0,121,95.6,2.178185052,57,1260,0.236384439,50.2,0,3950,24.6,186,0,2.097514039
Koriya,400,0,0,0,0,437,817,6.250016535,30.9,3300,8.849704633,97.3,0,1300,4.372944607,632,0,0.594378047
Anuppur,461,0,0,0.183564815,0,66.9,101,1.507918969,15.4,1570,0.458112827,13.4,1.079866985,1810,4.571344714,197,0,0
Kabeerdham,407,0,0,0,0,58,584,1.706989395,0.783124456,2410,3.641488325,0.830410855,1.337700151,817,0,346,0,0.184278428
Bilaspur,406,13.3,0,0,0,650,882,10.3,8.094513784,2190,7.456923859,4.188330722,1.380796074,2770,31.2,1760,0,1.932673447
Korba,404,55.6,0,47.9,0,607,964,15.5,9.316038193,1860,16.5,31.3,11.6,2190,50.6,717,0,5.116662829
