DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Hazaribagh,360,12.6,0,0,0,80.9,246,11.6,21.8,810,1.685760152,26.9,9.576718226,1730,38.8,608,0,2.643017711
Dhanbad,354,17.3,0.230438878,0.227886924,0,20.6,52.7,31.3,46,993,1.065463529,24.7,3.95964763,489,112,335,0,2.595766515
Bokaro,355,19.2,0,0,0,46.8,94.7,9.874960217,6.282308619,615,0.191160724,7.160276416,2.205969864,1640,104,245,0,6.078882598
Puruliya,340,19,0.006542175,0.592600981,0,38,106,15.8,9.353968293,713,0.230407645,4.642499652,2.804168814,4640,44.9,642,0,1.843095843
Ramgarh,361,2.125282916,0,0,0,40,49.2,3.849155155,0.441620588,153,0,0,2.161787995,1020,34.7,51.5,0,0.410475205
Khunti,365,0,0,0,0,65.1,220,0.183454907,0,834,5.645350417,0,0,1240,2.958441783,339,0,0
Pashchimi Singhbhum,368,0,0,7.374101694,0,442,1050,11.9,7.501129411,3990,5.613879869,1.657858425,9.471760599,689,9.15281444,987,0,0
Saraikela-kharsawan,369,26.7,0,0,0,96.7,91.9,9.852524641,1.007544498,792,0.935404377,2.036135024,4.067871652,1220,32.2,362,0,3.050530418
Purbi Singhbhum,357,0.834582477,0,0,0,125,175,1.523674609,3.556885745,721,2.43689147,1.240534072,1.283993682,1310,93.4,1130,0,0.22927792
Pashchim Medinipur,344,0,0,0,0,18.5,130,0.414162036,34.5,216,2.413278936,13.7,0.230361719,6590,67,2300,0,0.23046811
Bankura,339,16.6,0,0,0,7.813466819,68.9,7.73792207,39.5,138,0.777372106,24.2,5.369291307,3750,75.7,2810,0,5.022236528
Barddhaman,335,5.691387086,0,0.202179712,0,2.197982605,5.071832822,5.659302935,28.8,56.3,0.227622481,16.4,1.591421271,5850,441,607,0,1.177005497
Birbhum,334,0,0,0,0,0,1.584906904,1.147182743,6.653538026,1.661743256,0,1.454869679,0.637383955,4020,114,402,0,0
Hugli,338,0.049456491,0,0,0,0.650859252,6.926656598,0.229496548,0,4.766886334,1.247369828,4.162588525,5.848134833,2900,180,35.7,0,6.740247022
Haora,341,13,0,0.32551308,0,0.827608887,19.8,0.183711929,0.823296471,5.347712572,2.821757869,4.748192539,21.7,1210,122,31.7,0.229823657,10.2
North 24 Parganas,337,138,0.440362864,0.591771123,0,0.642168491,30.4,13,2.521798471,19.9,1.424295439,17.6,1880,3300,178,141,2.232368951,83.5
Nadia,336,0,0,0,0,0,0.374135977,0,6.408372366,0.662592462,0,6.918960905,1.345452335,3790,79.9,37.4,0,0.529522259
Kolkata,342,0,0,0,0,0,0,0,0.183831455,0,0,0.130048477,0,0.550172226,89.9,0.191838965,0,0.37934522
South 24 Parganas,343,178,0,0.273307725,0.939060232,1.058491958,13,6.494363946,2.914797309,10.8,0.874186958,16.1,625,4550,110,38.1,2.091951587,17.1
Murshidabad,333,26.4,0,0,0,0,0.461906027,1.644223743,34.5,1.12305908,0,43.6,14.9,4970,157,62.1,0.058216943,22.1
Maldah,332,44.6,0,0,0,0,2.192934698,3.213534159,16.7,5.064776069,0.180673638,25.4,6.219736577,3430,24,20.1,0,19.2
Dakshin Dinajpur,331,0,0,0,0,0,0.179769468,0,0,0,0,0,0,2140,24,4.209700525,0,0
Purba Medinipur,345,97.1,0,0,0.231239468,0.646905186,13.6,2.815709854,6.454445967,3.720820489,0.369599888,34.5,34.8,3790,15.6,25.5,4.230262882,18.1
Ganjam,388,77.7,0,10.1,0,47.2,255,18.2,4.807272635,2850,8.189330185,5.612320139,35.9,2090,81.9,2990,0,10.6
Puri,387,693,0,4.931052284,0.411815679,7.648186878,49.3,63.6,17.2,42.3,1.281923174,72.2,184,2210,14,165,0.411869581,31.5
Khordha,386,3.773996187,0,10.1,0,31.3,37.3,5.084756656,4.237028489,503,3.134200261,2.757815492,18.2,942,66.1,1120,0,0.308607488
Nayagarh,385,0.233779346,0,9.231258258,0,167,244,0.457446818,23.3,1840,13.5,25.9,10.7,268,3.381093495,1270,0,9.214265734
Cuttack,381,4.645305596,0,0.901052444,0,49.4,78.1,1.598980651,101,627,7.02437752,64.7,2.815482014,1420,74,1450,0,55.2
Dhenkanal,383,1.467030124,0,1.189340707,0,62.2,231,4.312606993,40.4,1320,6.335994666,24.3,1.338977561,735,5.40711339,2030,0,8.337401727
Anugul,384,83.2,0,30.5,0.231679351,390,535,19.2,29.2,2160,19,32.8,4.479679672,500,8.661532227,2540,0,3.782761445
Jajapur,382,0,0,0,0,2.120156225,19.3,3.218942758,18.6,222,0.464808594,12.3,0,1610,8.787758582,994,0,2.623554719
Kendujhar,375,7.303920392,0,17,0,116,516,44.4,12.5,3240,12.2,13.9,36.6,2610,7.789317994,1670,0,2.954326762
Kendrapara,379,38.6,0,5.18392589,0.186374004,0.837926021,41,5.564900947,11.1,7.20035281,0.698157007,21.6,90.7,2190,4.761152485,45.7,0.360600065,10.1
Jagatsinghapur,380,26.8,0,0,0,0,3.993966115,16.4,15,5.372737798,0.223938864,20.3,21,1500,6.111956487,111,0.224236626,12.7
Baleshwar,377,132,0,16.4,0,11.3,69.8,4.836043344,21.6,164,0.671002244,27.4,16.1,2910,12.6,472,0.185183721,12.9
Bhadrak,378,61.3,0,1.533270635,0,0,4.513620389,9.550090007,23.9,9.428605512,0.222987953,14.3,9.141980924,2280,5.231522621,46.3,2.163856077,7.141812807
Mayurbhanj,376,2.174409307,0,603,0,257,1240,4.060911216,7.406442163,2330,27.4,5.467125388,4.118870771,2030,4.429973955,3900,0,2.808458748
Debagarh,373,141,0,2.007446004,0,220,395,4.760535176,21,810,9.906612778,20.6,2.222787905,199,0,984,0,0.833316363
Sambalpur,372,90.1,0.18490769,7.120635783,0,860,1100,22.3,10.8,2020,39.4,4.973442052,8.037497244,1610,35.7,913,0,3.624363307
Jharsuguda,371,242,0.693456484,1.951771389,0,20.4,142,43.4,10.7,416,1.339978862,16.2,15.1,1120,17.4,61.2,0,1.736070153
Bargarh,370,118,0.416332837,1.350880241,0,112,444,8.440008047,5.158806499,587,3.045622625,2.837072036,15.2,4250,7.112815298,238,0,1.589324967
Subarnapur,392,3.004161854,0,0,0,61,101,1.950490253,24.5,265,1.932913978,24,1.476486948,1370,3.003311592,497,0,1.611339438
Balangir,393,0,0,0,0,56.5,354,0.931232964,8.256919052,1230,2.223991994,5.846353472,0.652153814,4110,10.7,778,0,0.839269922
Bauda,391,0.301361535,0,1.641153963,0,453,317,0.399434729,25.4,750,3.577329688,66.2,1.285318467,841,1.255283438,654,0,0.939958127
Kandhamal,390,0,0,25.9,0,760,454,0.635358606,0.271908987,5990,82.9,1.277627411,0.174560651,47.8,3.131453454,682,0,0.186482647
Gajapati,389,1.05037547,0,4.446910585,0,46.8,80.3,0.929663027,0.187562481,2880,42.5,0,6.435394437,99.7,7.798947946,883,0,0.656464282
Rayagada,396,0.234698965,0,6.299787457,0,88.4,219,0.845061729,0,4830,46.9,0,2.0371213,150,5.87266736,2020,0,0
Kalahandi,395,18.3,0,2.37262547,0,405,582,0.841057822,10.6,3520,27.6,21.5,0.782222087,1650,5.041532511,1650,0,8.69784443
Nuapada,394,0.22334441,0,0,0,23.9,407,2.335679351,0,1440,0.746416328,0.18679106,1.525832745,1830,2.476486672,158,0,0
Raipur,410,8.099077381,0,0,0,235,1620,30.8,60.7,3840,25.9,34,7.778320112,4690,69.6,1820,0,2.130820444
Nabarangapur,397,14,0,0.637521163,0,23.1,115,0.844535566,1.347964771,1500,29.9,5.370108762,2.204640783,2500,4.364299106,1100,0.187848106,5.077745022
Mahasamund,411,3.284391858,0,0,0,5.479359746,215,3.841298937,5.812243811,836,3.595128685,5.396071158,0.36184982,2230,4.329311871,1410,0,2.81115301
Janjgir-champa,405,0,0,0,0,8.170731525,48.2,5.45039361,34.1,839,0.83098021,30.1,0,1850,8.20872346,1040,0,12.8
Durg,409,27.5,0,0.223253771,0,29.6,255,20.3,5.039318913,2780,0.694995498,4.60138903,14.2,4200,107,1150,0,6.368628916
Dhamtari,412,55.8,0,0.419209932,0,388,473,6.916379354,7.564289956,1240,7.921194858,6.759262004,18,1670,6.497084822,172,0,6.113532095
Rajnandgaon,408,2.202074208,0,0,0,215,931,4.832489362,8.477355806,4480,2.128356165,12.5,1.367057044,1550,12.2,831,0,3.657580952
Gondiya,507,34.5,0,0,0,197,993,9.47059975,3.532125617,1440,3.589526494,3.984875975,20.2,2230,10,516,0,1.89111653
Nagpur,505,33.2,0.407334514,0.417517158,0,64.9,829,25.8,0.418098096,1270,3.428178066,2.482438836,23.9,5440,198,2030,0,8.700407874
Bhandara,506,0,0,0,0,39,438,0.214101834,8.143407062,479,0.30513683,2.540203411,0.407329222,2700,18,172,0,0.377688027
Garhchiroli,508,0,0,12.8,0,2160,3480,11.1,33.4,6280,32.5,44.1,0.834718238,1400,2.89491006,988,0,2.321787994
Uttar Bastar Kanker,413,2.304028307,0,0,0,805,721,1.483339294,1.185654762,3650,33.5,1.811419293,1.880219437,1060,2.221115245,518,0,0.739314166
Chandrapur,509,11.3,0.233501284,0,0,68,1290,21.9,13.4,3290,4.448911986,15.3,13.9,4260,85.8,2220,0,2.013293907
Adilabad,532,90.5,0,0,0,48.3,1270,20.6,6.903169401,3450,11,27.3,3.496148551,8010,116,2980,0,2.819042646
Narayanpur,415,0,0,7.623566093,0,1270,461,0.332033828,0.646031548,2430,23.3,0,0.168532966,14.9,1.273572092,63,0,0
Bijapur,417,0,0,9.032524144,0,1790,1130,7.570122627,23.9,5440,97.3,6.934128669,0.234989429,91,0,183,0,0
Bastar,414,1.069256035,0,0.225832523,0,172,420,8.531934404,27.2,6840,121,13.7,0,1060,9.621037997,1670,0,1.904041167
Koraput,398,15.6,0,1.928381699,0,42.1,67.7,3.230328233,11.7,4750,62.5,55.1,18.7,2000,7.008644245,1660,0.083739554,11
Dakshin Bastar Dantewada,416,0,0,13.9,0,283,472,2.04399164,2.489447618,7200,207,2.309954225,0,39.4,1.425977468,653,0,0
Malkangiri,399,57.1,0,2.402968059,0,110,237,1.349966834,1.415094594,3270,108,2.129146047,66.4,286,0.660753794,1680,0,2.323400645
Visakhapatnam,544,34,0,87.9,0.189841787,27.8,228,10.7,9.898244143,6840,48.4,52.3,40.7,373,163,3500,0.157981738,15
East Godavari,545,182,0.219147547,177,0,16.3,333,16.5,63.2,3490,16.1,51.9,607,2970,184,2700,0.784145959,36.6
Khammam,541,15.6,0,6.89324474,0,198,960,24.6,110,6500,128,128,19.7,2540,139,5290,0,16.6
Warangal,540,6.815668592,0,0,0,123,931,6.556364349,24,2050,18.5,29.1,2.646725541,6910,151,2540,0,8.20975837
Karimnagar,534,33.7,0,0,0,30.2,533,6.968997075,28.9,817,7.045447597,44.4,4.404871677,6970,150,3260,0,8.70189615
Krishna,547,128,0,1.170275495,0.596958808,37.4,38.9,13.2,55.1,260,3.687268714,33.8,714,5530,240,1470,0.716501038,33.1
Nalgonda,539,105,0.36187293,1.941314924,0,0.482179336,18.1,36.3,31.4,50.7,1.944261488,27.5,22.4,11600,111,2050,0,19.6
Guntur,548,42.1,0,0.527076164,0.422627947,8.814164758,226,12.5,94.2,150,4.283941769,68.7,48.3,7420,285,3060,0.411216912,10.4
Prakasam,549,4.759054343,0,0,0,156,973,15.8,64.1,1580,18.5,79.6,8.450551746,5260,155,9390,0.213262347,8.26367175
West Godavari,546,53.9,0,9.17846489,0.1812749,3.508191326,55.9,4.090749643,12.3,643,3.290465502,15.3,519,4680,137,1620,0,11.2
Yanam,634,3.81891345,0,0,0,0,1.009864411,0.409506293,1.312309356,2.115715634,0.054410498,1.161824989,10.6,14.2,2.92806053,0.212092697,0.04485125,0
Vizianagaram,543,10.9,0,1.114838271,0,6.528163773,45.9,3.759309391,0.236526367,1420,15.9,11.6,11.2,1770,27.5,2260,0,2.149981453
Srikakulam,542,31.4,0,1.450847833,0,19.6,71.6,17.1,2.63867559,800,5.855179744,7.647538262,31.7,2710,77.6,2530,0.471533218,15.7
Sri Potti Sriramulu Nellore,550,406,0.472007543,2.113813604,0,70.9,419,33.5,147,310,16.6,324,83.5,3190,74.3,7960,0.007350275,78.3
Y.s.r.,551,126,0,5.859845898,0,531,1990,35.9,255,1100,42.5,152,37.4,3720,59.6,7090,0,13.5
Chittoor,554,0.23167842,0,13.1,0,153,828,12,7.18050686,804,31.5,56.2,2.365990158,4190,64.7,9010,0,0.35724757
Thiruvallur,602,48.2,0,1.472893616,0,0.911325893,11.6,3.031393524,24.7,8.119771268,0.880594442,25.4,23.3,1490,177,1420,0.572641594,17.3
Kancheepuram,604,19.9,0,0,0,0.931268856,3.991248276,9.355343879,23.9,5.754250834,0.872579102,29.8,22.1,1320,192,2970,0.711235087,23.2
Chennai,603,0.555826014,0,0.17432354,0,0,1.93894383,0.921328462,1.839601399,0.434573842,0,1.176516261,0.186285857,5.277285659,106,3.448868857,0.222739312,6.04767949
Vellore,605,0,0,26.4,0,124,406,0.911338814,0.542631346,559,6.351709918,1.075072261,0,1300,103,3550,0,0
Tiruvannamalai,606,3.311992108,0,108,0,49.5,226,1.252543058,0,382,3.534287194,0.494887187,10.9,1790,39.6,3570,0,0.417750437
Viluppuram,607,9.843150169,0,16.9,0,19.7,82,4.41601442,5.998216424,215,2.195640347,7.250799481,5.815417329,3270,52.6,3490,0.197143452,4.963608589
Puducherry,635,2.185073497,0,0,0,0,0.243147974,0,0,1.384806268,0,0.231393974,3.163187741,204,33.9,54.6,0,0.305472485
Cuddalore,617,12.9,0,0.37017379,0,0,0.876593709,1.455389401,18.5,2.309153659,0.447950246,15.7,12.2,3090,87.9,437,0,17.1
Nagappattinam,618,45.7,0,0.23436106,0,7.418181768,8.784505744,7.343380688,53.1,12.2,1.878211483,58.1,4.740466798,2130,36.1,88.7,0.409064702,28.3
Ariyalur,616,0,0,0,0,0,0,1.008340149,2.82346352,0,0,3.351979091,0.41951281,1480,5.998080657,457,0,0
Thanjavur,620,4.85991632,0,0.212396194,0.179770529,0,0.625037788,0.239989733,7.087300693,0.716985574,0,13.5,4.632595616,2720,90.3,548,0.645213022,4.272124601
Karaikal,637,0.076635175,0,0,0,0,0,0.764473179,1.536526078,0.832026588,0.370719642,1.503273863,0.725826865,116,13.9,17,0,0.662257874
Thiruvarur,619,43.5,0,0,0.410634321,0,0.063601333,0.963601436,19.8,1.260328511,0,37.2,5.005280346,2120,24.4,15.9,1.065929249,6.876468107
Virudunagar,625,27.4,0,54.4,0,2.853020747,29.5,0.176505534,1.515030527,48.6,1.995234146,8.63866043,4.820187908,2230,137,1830,0.225605348,6.464205931
Pudukkottai,621,3.224877536,0,0,0,0,2.05929418,1.862369223,2.432974812,2.258847383,0,4.427044129,4.608134938,1610,32.6,3000,0,2.075852826
Ramanathapuram,626,14.6,0,0.225625858,0,1.430906811,9.88083794,5.400445939,11.7,4.07949319,0.362829678,22,8.224491857,2890,39.3,929,0,16.8
Sivaganga,622,0,0,0.234662756,0,0.22490506,4.628672095,0.766551939,1.939487384,0.668505318,0.06979184,9.813240717,1.176904343,2250,45.7,1940,0,0
Tiruchirappalli,614,0,0,51.9,0,10.7,75,3.051777959,2.280839932,94.8,1.629328293,4.452579116,0.630618694,1740,96.7,2430,0,0
Madurai,623,0,0,38,0,8.735751744,58.1,0.22520973,0.235027408,94.8,4.877295323,2.384444736,0.782957131,1430,105,1950,0,0
Dindigul,612,0,0,795,0,35.8,248,0.846916504,0,295,6.396239966,2.476985333,0.5962177,1600,37.6,3050,0,0
Thoothukkudi,627,17.8,0,1.424417155,0.835091638,1.994457966,0.225950868,0.958762051,20.7,1.912753855,2.053262402,39.3,5.665458565,1750,139,2590,1.001911008,62.8
Tirunelveli,628,4.134625449,0,703,0,17,120,1.379838267,1.750818333,209,7.505808066,14.6,7.388392851,2190,137,3380,0.186505574,7.461013472
Kollam,600,23.6,0.186510399,817,0.38351256,9.158946952,41,0.353421386,0.000153995,662,9.037382493,0,120,198,19.4,586,0.186545481,0.461291795
Thiruvananthapuram,601,6.849094887,0,895,0.598483431,4.389550356,24.4,0.125137912,0,392,5.041311935,1.276994637,49,221,40.3,539,0,0.018882675
Kanniyakumari,629,4.669492845,0.403115523,418,0.028043065,6.921704673,20.3,0,0.236086238,338,3.311770323,1.62412798,44,227,22.5,602,0,1.251668907
Alappuzha,598,107,0.186153278,320,1.712729277,10.8,65.5,0.249957168,0,257,6.466678204,0,241,245,8.934483979,156,0.100029469,0.725710967
Pathanamthitta,599,0.225524391,3.353503932,1400,0,2.42105118,14.8,0,0,428,1.072734899,0,9.321384845,69.6,5.97875784,707,0,0
Kottayam,597,34.7,0,551,0.450738027,4.682423622,23.9,0.225324531,0,670,4.526419924,0,88.6,280,9.857098414,541,0,0.411499395
Idukki,596,13.5,0.695775292,3030,0,11.1,93,0.926148462,0,655,3.593371761,5.822460397,61.9,48,1.889398813,1090,0,0
Theni,624,6.174062424,0,328,0,14.3,88.8,0.219004208,0.176115537,223,2.729497545,0.674604707,1.14507364,496,39,1650,0,0.420730351
Tiruppur,633,0,0,108,0,22.2,95,3.229044638,0,125,3.987636149,1.476374504,1.856681001,3410,97,1340,0,0.224794835
Coimbatore,632,1.771744045,0,508,0,3.436447298,71,0.644117599,0,441,1.190578628,4.469500055,6.676447863,1980,164,1480,0,0.01352444
Palakkad,593,10.8,0,989,0,5.066169403,132,0.214715461,0,1100,8.82964979,0.072028125,37.6,949,27.6,1220,0,0
Thrissur,594,19.1,0.371520417,667,1.326079271,5.49253805,55.9,0,0,925,7.390563432,0.452698394,88,427,30.1,799,0.410732863,0.23270617
Ernakulam,595,55.8,0,427,0.225050845,6.409597677,19.1,0.919974991,0.234900176,592,8.204305213,7.523405201,155,473,48.2,614,0.13489511,2.750233627
Lakshadweep,587,640,0,0.371076165,0.283342031,0,0.214298386,0,0,0,0,0.153508834,20.5,0,0,0,0.184910028,1.690210937
Dakshina Kannada,575,17.1,0,1640,0.465165267,6.153918566,18,2.141316944,2.983287036,1330,98.5,5.490165957,16.9,47.6,46.7,1360,0,1.665745583
Udupi,569,34.7,0,722,0.038873852,5.569822667,20.4,2.483103921,0.871157335,1140,183,4.141312558,15,151,15.8,1570,0,1.131375833
Kasaragod,588,10.6,0,324,0,8.761730408,37.4,0.828012398,0,902,77.7,12.5,25.5,99.8,0.27027979,466,0,0.091433082
Kannur,589,9.821681153,0,978,0.355131679,11.2,47.6,1.311956848,0,1120,32.9,6.880038587,65.1,147,3.556213705,527,0,0.240669237
Mahe,636,0.056713201,0,2.208975515,0,0,0.851011169,0,0,4.023907529,0.289962101,0,0.64165376,1.016253749,0,0.760365561,0,0
Kozhikode,591,9.389316336,0,1770,0.718696804,1.052492668,35.5,0.169376105,0,194,0.878929307,0.993591612,84.1,109,4.861443379,120,0,0.001527241
Kodagu,576,0.679288328,0.232901513,2480,0,0.223602209,141,0.79804952,0,631,5.416621457,0.853835176,12.3,36.4,4.309584671,794,0,0
Chikmagalur,570,64.2,0,1420,0,2.820907698,342,8.980127426,1.344119884,2350,32.1,3.150642634,44.2,1490,12.1,1440,0,0.61188844
Hassan,574,14.7,0,485,0,0,6.748489686,3.132243003,0.222920432,438,15.7,13.4,14.4,3980,19.8,1820,0,0.881144811
Mysore,577,37.3,0,10.4,0,0.835908967,275,11.9,0.223291251,657,45.4,11.6,42.8,3300,85.3,1830,0,3.195933027
Tumkur,571,1.304723411,0,0,0,0.531877711,12.5,5.57127217,13,46.1,1.451942343,29.1,13,7120,30.7,3340,0,1.336528213
Mandya,573,20.6,0,0.223169245,0,0.65016397,8.156508814,2.529366022,0.407353074,71.6,8.18593394,39.7,16.5,2000,18.5,2760,0,0.253322911
Wayanad,590,0,0,878,0,0.233470704,90.1,0,0,513,1.634604507,0.233642275,12.3,59.4,2.813284761,572,0,0
Chamrajnagar,578,0,0,120,0,6.989038853,322,5.286449642,2.090171828,1770,35.3,47.3,1.884465711,1180,8.535966686,2170,0,0
The Nilgiris,611,0,0.88658613,705,0,0.818027176,163,12.4,0,805,3.490967636,9.562481426,3.551712681,26,7.95888322,817,0,0
Malappuram,592,18.8,0,938,0.409896432,3.598325937,73.4,1.682864838,0,1680,2.507413738,1.562915209,50.2,384,11.3,397,0,0.22486883
Erode,610,22.2,0,222,0,4.846540647,205,1.003219307,0,1300,6.599402903,5.479912933,7.192959096,2010,71.3,1910,0,2.392270472
Namakkal,609,0,0,50.7,0,9.012680675,81.9,0.879147229,0,240,0.876566358,2.763739049,0,1230,39.2,1750,0,0
Salem,608,46.3,0,144,0,23.8,225,1.729862353,6.58600164,592,4.992257257,7.77687428,10.2,891,89.4,3170,0,1.03550507
Karur,613,0,0,0,0,1.743116476,8.390280944,1.248374258,0.261867987,4.58762476,0.185367497,6.553884709,0.023147464,512,33.9,2330,0,0
Perambalur,615,0,0,4.980627433,0,4.146197532,21.4,0,0.36079909,16.5,0,0.750556653,0.224081215,855,7.440874925,842,0,0
Dharmapuri,630,16.3,0,88.2,0,33,249,2.659481289,1.566231536,764,8.159016991,12.4,6.206170321,908,16,2410,0,1.123279415
Krishnagiri,631,2.406574753,0,22.3,0,5.99265287,136,0.242605708,0,712,7.198662492,5.444873236,1.252347126,1490,22.7,2740,0,1.028636509
Kolar,581,0,0,0,0,0.232623934,4.470857823,2.256272467,1.32609861,10.7,0.640445571,6.942977277,0,1960,20.1,1980,0,0
Bangalore Rural,583,0,0,0,0,0,1.1313179,0.241811099,3.253149611,5.454616888,0.222409743,7.771730492,0,1180,8.244971087,1100,0,0
Chikkaballapura,582,0,0,0,0,0.811614962,11.6,1.23764049,1.477700609,16.1,1.149715293,7.046535177,0,2720,15.1,1450,0,0
Bangalore,572,0,0,0,0,0,1.876567186,0.639069168,1.878863212,18.6,0.842107729,4.169765529,1.104310459,726,287,1140,0,0
Ramanagara,584,0,0,0,0,1.950831619,40.5,0.216012,0,260,9.210000089,6.764402487,0.60103527,1040,13.4,2150,0,0
Anantapur,553,4.635588359,0,0,0,0.413890926,40.1,6.716568909,273,39.4,1.107544656,24.8,0.461627196,16600,94.5,2130,0,4.727225772
Chitradurga,566,12,0,0,0,0.183264045,1.976315407,14.9,89.5,51.7,7.653218196,50.2,2.818101152,6660,28.3,1520,0,3.434803308
Davanagere,567,10.1,0,0,0,0.54937009,53.9,3.21814887,13.9,202,5.890294911,19.8,8.426089527,4910,37,681,0,1.706294145
Bellary,565,106,0.220656429,0,0,1.248329105,38.1,24.2,200,58.2,6.287190765,45.2,5.166962094,7250,53.4,650,0,3.062066271
Kurnool,552,136,0,0.458619281,0,179,878,33.2,606,995,9.281556097,104,32.7,12000,90.5,2730,0,5.063804783
Mahbubnagar,538,117,0,0.45802462,0,19,429,29.2,61.9,900,7.533159445,69.6,8.499261184,15100,56.2,1550,0,5.616324413
Raichur,559,12.8,0,0.229197122,0,0,0,4.510480969,284,1.73975536,0.238663228,12.7,0.83013733,7800,30,303,0,3.007611035
Koppal,560,87.8,0,0,0,0,1.086708046,13.5,262,3.452468629,1.870467672,29.9,2.680987833,4980,15.6,172,0,1.888197966
Bagalkot,556,145,0.181203146,0.006702453,0,0,1.335853276,42.6,275,19.3,0.229021442,7.74318091,13.2,5310,74.5,674,0,6.792637811
Gadag,561,0,0,0,0,0,0,5.186260431,167,7.767141914,0,16.3,0,3980,23.8,448,0,0
Belgaum,555,66.1,0,152,0,2.622349677,86.4,21,258,1550,55.2,14.8,7.950281969,8470,98.2,2610,0,6.484509552
Dharwad,562,0,0,0,0,8.253159676,88.3,0.691909865,157,270,18.3,3.496856137,0,3170,36.8,518,0,0.920545324
Haveri,564,0,0,0.083344184,0,1.477250744,12,1.348512213,10,167,12.8,9.83905505,0,3890,23.2,680,0,0
Uttara Kannada,563,83.3,0,2970,0.34383129,31.9,722,9.654326719,6.427766675,4740,352,37.8,104,343,14.4,763,0,5.855922474
Shimoga,568,71.5,0,550,0.221842092,8.564780215,347,13.7,2.015370161,3410,306,4.298901371,211,1140,34.2,2340,0,1.11470349
South Goa,586,19.8,0.144600431,490,0.61187721,15.4,58.2,10.8,2.410459913,916,57.9,12.3,29.8,153,14.1,168,0,0.41812322
North Goa,585,12.3,0,176,0.028894392,8.384262241,32.7,10.5,1.777767757,953,70.2,10.1,43.6,110,4.67188424,246,0.239516768,2.488817733
Kolhapur,530,20.4,0,194,0,4.28715408,80.8,10.8,24.6,3320,139,5.519376075,61.4,2680,138,994,0,0.648858468
Sindhudurg,529,26.1,0,173,0.798354276,26.3,64,8.160701679,2.207487632,2960,484,23.5,27.8,646,3.391784736,623,0,0.815901096
Ratnagiri,528,44.1,0,10.4,0.78665708,53.8,245,25.8,4.922181106,5620,521,19.6,48.2,634,9.105909502,1020,0,4.253568867
Sangli,531,3.279681971,0,25.2,0,0.227981037,13.1,4.315816719,224,240,10,3.855185,19.8,7110,167,738,0,0.456277538
Solapur,526,88.5,0,0.189024443,0.188949419,0.652203737,3.231910102,21.2,110,0.651873124,0.9074833,0.515380311,54.7,13900,304,376,0,10.7
Satara,527,42.4,0.180249322,80.6,0,8.726014272,141,30.5,65.3,1780,50.4,2.273387747,90.4,6380,100,1720,0,7.7066936
Pune,521,137,0.424662324,1.919903157,0.179337651,38.4,376,65.7,17.7,1720,102,7.06191094,112,11300,375,1430,0,18.3
Raigarh,520,260,0,2.537351051,1.074677872,79.7,402,45.9,15.5,2760,564,7.476600901,105,1180,67.9,1640,0.179489218,28.9
Ahmadnagar,522,119,0,1.177964292,0,3.681358135,42.7,26.3,10.5,93.1,4.617110836,1.613678386,18.1,15800,259,667,0,10.8
Bid,523,44.1,0,0,0,0,0.451074179,11.8,3.224804625,0.21678349,0.836618442,0.414082813,6.822693773,10700,208,27.2,0,6.321426841
Osmanabad,525,18.3,0,0,0,0,0.453997353,17.5,4.002311712,0,0.196971155,0,5.019260599,7300,192,20.7,0,11.4
Parbhani,513,21.6,0,0,0,0,0.458980515,6.37703795,0,0.892129029,0,1.282840083,4.199438062,5840,132,327,0,6.666429865
Latur,524,1.217890301,0,0,0,0,0.594531209,0.728512379,0.877848922,0,0,0,1.053435836,6610,133,1.259841185,0,3.242957903
Gulbarga,579,7.768720378,0,0.18963458,0,0.986325615,48,1.792360671,1.986609452,11.3,1.100214563,0.228126253,7.314195292,10600,188,52.1,0,6.990230674
Bijapur,557,89.5,0,0.632832511,0,0,1.297460795,19.3,215,1.049602655,0,3.533259103,9.637033956,9940,147,76.3,0,3.266345231
Yadgir,580,2.245376966,0,0,0,0,0.190360459,1.096819716,71.6,1.014918981,0.180842414,12.4,0.371786851,4990,28.9,172,0,0.269255744
Bidar,558,22.9,0,0,0,0,1.696414712,0.842845185,0.227325158,5.835770902,0.41679541,1.325174695,1.240145886,5250,122,25.1,0,10.2
Rangareddy,537,9.178915522,0,0,0,1.367896048,16.1,21.6,85.7,93.6,9.027396581,40.3,1.708340999,4800,377,2100,0,5.486569015
Medak,535,70.5,0,0,0,1.584898723,43.2,6.825273177,1.229706906,49.6,3.216887749,0.227581921,15.2,8160,118,1290,0,4.089588219
Hyderabad,536,1.015303342,0,0,0,0,0,0.227820578,0.08611494,0.166038406,0,0.799736024,0,2.462228624,166,5.158454578,0,1.802837175
Nizamabad,533,122,0,0.357551396,0,7.760536747,357,6.667765753,1.192294787,352,5.401140096,2.64943039,12.4,5970,74.4,995,0,2.197301847
Nanded,511,4.528208497,0,0.226002623,0,2.964046397,156,2.992883956,0.276744985,153,1.960027235,0.200225558,3.220111946,9190,189,891,0,1.667284862
