,modi +ntl,,,,ntl only,,,,modi only,,,
FC,,f1,acc,"f1 , acc",,f1,acc,"f1 , acc",,f1,acc,"f1 , acc"
MSW,FC,0.78,0.84,"0.78 , 0.84",FC,0.68,0.73,"0.68 , 0.73",FC,0.72,0.8,"0.72 , 0.8"
BF,MSL,0.74,0.81,"0.74 , 0.81",MSL,0.65,0.71,"0.65 , 0.71",BF,0.7,0.78,"0.7 , 0.78"
EMP,EMP,0.73,0.8,"0.73 , 0.8",EMP,0.65,0.71,"0.65 , 0.71",MSW,0.67,0.76,"0.67 , 0.76"
MSL,BF,0.71,0.79,"0.71 , 0.79",BF,0.64,0.7,"0.64 , 0.7",EMP,0.66,0.74,"0.66 , 0.74"
CHH,MSW,0.71,0.78,"0.71 , 0.78",MSW,0.63,0.69,"0.63 , 0.69",CHH,0.62,0.7,"0.62 , 0.7"
,CHH,0.68,0.75,"0.68 , 0.75",CHH,0.59,0.66,"0.59 , 0.66",MSL,0.58,0.68,"0.58 , 0.68"
