DISTRICT,DN_00,DN_01,DN_02,DN_03,DN_04,DN_05,DN_06,DN_07,DN_08,DN_09,DN_10,DN_11,DN_12,DN_13,DN_14,DN_15,DN_16,DN_17,DN_18,DN_19,DN_20,DN_21,DN_22,DN_23,DN_24,DN_25,DN_26,DN_27,DN_28,DN_29,DN_30,DN_31,DN_32,DN_33,DN_34,DN_35,DN_36,DN_37,DN_38,DN_39,DN_40,DN_41,DN_42,DN_43,DN_44,DN_45,DN_46,DN_47,DN_48,DN_49,DN_50,DN_51,DN_52,DN_53,DN_54,DN_55,DN_56,DN_57,DN_58,DN_59,DN_60,DN_61,DN_62,DN_63,mean,sum,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Tapi,911.3091909,0,0,0,368.2888526,571.6761758,402.4738829,279.5457991,183.4722843,127.0334976,78.26974451,52.53320411,37.33764856,18.48889212,15.48289745,17.27808186,15.51819774,10.27380917,6.842740111,10.27782184,8.945547226,5.343192334,5.750992501,3.165151737,0.930599056,4.095850576,1.503670008,1.670422526,3.432820732,1.575156247,2.212370252,3.350098943,2.372959513,0.967509632,0.751420626,0,0.848254697,0.751380442,0.751380442,0.079659154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46512.23348,15815372351,250,0,0.398724953,0.185395054,12.1,368,22.4,2.716136277,451,42.9,4.842521754,16.4,1240,25.3,703,0,13.3
Tarn Taran,0,0,0,0,0.142721184,1.859149275,9.078478812,17.5155643,23.98777275,27.64540873,38.34610827,84.48258898,148.7394506,294.0056411,347.6755816,275.4249226,268.546452,245.6325049,149.7970976,103.8710567,67.67527557,42.16654457,47.03683793,30.52112132,25.08105281,14.85760078,14.08529573,12.27797228,9.468509993,8.04714686,5.115934963,9.526158434,5.286503251,4.870229439,4.524097973,4.477234536,2.995116318,6.584267862,5.067295708,2.987521965,3.676867426,1.347486386,1.455453686,2.910935205,2.833852957,2.298268696,3.600498213,0.688861028,1.531535713,2.391827279,2.83304257,0,0.765332754,0.688919326,1.454193782,0,0.688919326,2.2196597,0,0.850369727,0.688861028,0.765401143,0,0,139437.2561,39188928874,0.073994487,0,0,0,0,0.000133827,0,0,0,0,0,3.535112993,2370,21.7,0.297986731,0,0
Tawang,2327.865916,0,0,0,10.11800605,10.40951094,7.716609352,1.430302939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.0056118,148831355.6,5.82395333,458,3.559130782,0.555311704,14.9,845,3.660290388,32.5,46,3.175991011,836,0.55689638,1.810320023,0,46.9,33.4,25.8
Tehri Garhwal,1965.704878,0,0,0,292.1657149,573.0246139,376.2200128,181.2876295,123.3445013,87.52106763,63.37619716,35.53694424,18.77440808,15.17958579,15.38009204,9.573601725,12.028618,15.39101993,10.22949374,8.139603549,8.516749471,2.787936917,5.526038526,6.378574629,2.321631989,2.715495767,5.120058648,5.104895038,2.172029347,1.757352825,2.853755757,3.82272868,3.022225727,1.394779342,0.696549199,2.167902105,2.567034011,2.407618363,0.071161574,0.697475575,0.759443348,0,0.606617232,0.521516937,1.340221102,0,0.619377835,0.36477229,0,0.651360371,0,0,0,0,0,0.163331424,0.044559913,0,0,0,0,0,0,0,30690.59225,13821274609,8.114718914,6.445102274,0.223923301,1.596542881,1.153864941,2140,17.5,4.336346927,669,4.254589109,403,6.836916013,332,3.286573198,114,141,20.2
Thane,1374.338312,0,0,9.883303201,1338.189007,1473.251589,1167.860309,785.9293531,515.4736105,330.5892964,210.8238171,170.2609991,140.7893294,100.0128107,102.3328574,81.80306687,96.47236618,67.26309729,62.67373712,47.77051816,48.27960313,47.41054541,49.09942334,52.36378995,48.07102472,51.13856591,36.1168941,39.5657046,37.64360409,33.64108601,34.85162507,28.80578487,20.14138776,22.65637182,24.58168247,15.76617486,17.71817037,18.95040074,17.77890907,20.16891693,7.54764245,13.67504655,19.53047724,19.79736314,18.80590826,15.34013344,14.10806653,15.83754036,14.42840421,15.38325542,15.92696829,14.87780767,22.81704217,22.6884693,20.41937928,20.77016416,22.47855691,23.89835514,30.21310309,27.65398297,51.55278213,56.29777988,77.16054912,220.1807125,107488.4705,1.09E+11,196,0,1.819313508,0.421523623,55.2,806,54.4,19.9,2520,729,19.9,66.1,1790,307,2930,0,32.3
Thanjavur,8.325747972,0,0,0,6.508239476,7.417876942,119.735588,539.04247,591.8025195,489.7411738,439.8156402,295.5077423,183.8636617,117.5847464,96.0407077,64.73113343,58.06787733,47.2688606,40.16847696,37.3964987,30.12944425,14.69877288,19.3320902,16.31410673,11.42195337,11.02232183,8.618228851,7.290861223,7.321657969,5.203575967,5.194857715,7.29162566,4.403039118,4.393369307,5.798691105,6.059487443,6.684800942,5.886808705,0,5.193605201,0.791673214,3.251298305,4.129608199,2.460678987,4.31494941,3.25176456,3.16399311,5.006262738,4.138617858,3.337780219,1.668958611,3.348669941,0.790277862,1.757272676,3.426197643,1.766409284,3.523191808,6.774293547,3.33830366,3.338778023,4.041727189,0.878636373,0,0,111656.1881,38802947640,4.85991632,0,0.212396194,0.179770529,0,0.625037788,0.239989733,7.087300693,0.716985574,0,13.5,4.632595616,2720,90.3,548,0.645213022,4.272124601
The Dangs,1490.412244,0,0,10.20879821,194.7435585,33.66614518,8.871944652,12.73125771,5.69480622,2.345498358,0.525915954,1.358944845,0.838269176,1.148184822,1.057369544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6576.286414,1246946121,0,0,0,0,43.3,645,0.232386514,1.702990895,797,86.3,0,0,103,1.460638662,85.2,0,0
The Nilgiris,979.174367,0,0,0,237.1557762,354.6436301,271.190476,191.6776426,117.0615019,133.3900533,58.89324343,33.53215643,17.02858563,17.18429128,14.02867582,12.6451226,10.88158563,13.51140041,7.550677033,9.031422198,9.304240808,3.15644458,5.00752504,3.419361668,2.630476713,2.367655418,0.876858398,2.367452136,1.666024594,5.796954701,3.429562656,2.542994051,1.666096221,1.753719033,0.789060753,0.974315557,3.24418831,2.728047981,0,3.419881809,2.542797044,0.876884001,0.974399258,0,2.630702965,4.121285212,0.789218622,0.876758516,0.789128859,3.341746345,1.666024594,0,0,0,0,0,0,0,0,0,0,0,0,0,48515.18078,12722800419,0,0.88658613,705,0,0.818027176,163,12.4,0,805,3.490967636,9.562481426,3.551712681,26,7.95888322,817,0,0
Theni,718.0271843,0,0,0.792802881,306.9675493,404.0158744,259.7338929,251.7189094,264.1361818,180.5740357,108.9171438,66.07829974,52.04577112,41.87051767,33.7739398,22.13779695,22.72663098,14.37701669,16.83526706,14.64942993,9.072382676,5.118732556,4.13991791,9.962236039,5.108357033,6.889405992,5.812757265,3.445383764,4.228637806,3.346213088,0.881433643,3.346421379,1.585367438,0,0.792604617,2.740004619,0.88073833,0,0.880693193,0.978573096,0,0,0.792664497,0.792623874,1.585288371,0,1.761431572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59270.54823,17277068225,6.174062424,0,328,0,14.3,88.8,0.219004208,0.176115537,223,2.729497545,0.674604707,1.14507364,496,39,1650,0,0.420730351
Thiruvallur,29.34199126,0,0,0,37.36346773,38.33043586,83.78732989,227.5968365,289.5733913,331.4818464,297.3008433,214.7022766,158.6988946,136.9674287,121.0867173,99.83328469,69.02300726,67.93985722,62.79697209,62.61795327,49.84132164,40.56275654,57.68888629,39.88798713,27.13668835,31.86779917,26.37933217,17.25390629,30.67515409,35.51128984,23.84971072,15.87052949,22.94641979,26.44648209,18.21218032,19.66077494,19.17982655,15.6757705,10.51545231,4.276514843,12.59868593,8.282937652,12.55968755,7.717357135,8.727869926,5.850920408,9.511657599,11.68290071,4.698563479,10.39686727,11.50117247,10.2310702,10.03502282,4.180286324,13.74238045,7.717064088,11.98333055,13.91092994,3.309673816,16.85775826,11.06603779,25.55280109,22.58337197,140.9755834,181910.2473,61244557596,48.2,0,1.472893616,0,0.911325893,11.6,3.031393524,24.7,8.119771268,0.880594442,25.4,23.3,1490,177,1420,0.572641594,17.3
