Pali,118,12355.36
Palwal,89,1323.42
Panch Mahals,484,5297.85
Panchkula,69,848.84
Panipat,75,1226.56
Panna,426,7096.63
Parbhani,513,6337.84
Pashchim Champaran,203,5248.02
Pashchim Medinipur,344,9376.44
Pashchimi Singhbhum,368,7214.07
Patan,470,5649.25
Pathanamthitta,599,2644.34
Patiala,48,3329.33
Patna,230,3203.26
Perambalur,615,1753.77
Peren,271,1742.33
Phek,266,2051.57
Pilibhit,151,3592.6
Porbandar,478,2287.87
Prakasam,549,17712.62
Pratapgarh,131,4307.41
Pratapgarh,173,3712.99
Puducherry,635,300.02
Pudukkottai,621,4657.72
Punch,5,2397.46
Purba Champaran,204,3978.93
Purba Medinipur,345,4044.83
Purbi Singhbhum,357,3569.12
Puri,387,3552.5
Purnia,211,3241
Puruliya,340,6242.69
Rae Bareli,158,4618.16
Raichur,559,8450
Raigarh,403,7084.42
Raigarh,520,7156.23
Raipur,410,12443.31
Raisen,446,8498.08
Rajgarh,442,6126.61
Rajkot,476,11197.48
Rajnandgaon,408,8054.2
Rajouri,6,1929.22
Rajsamand,123,4802.4
Ramanagara,584,3516.39
Ramanathapuram,626,3947.75
Ramban,17,1112.08
Ramgarh,361,1353.09
Rampur,136,2572.43
Ranchi,364,4933.27
Rangareddy,537,7551.74
Ratlam,434,4825.56
Ratnagiri,528,8261.18
Rayagada,396,7364.14
Reasi,20,2283.97
Rewa,430,6308.28
Rewari,85,1492.26
Ri Bhoi,297,2420.09
Rohtak,82,1720.42
Rohtas,234,3862.7
Rupnagar,51,1383.8
Sabar Kantha,472,7426.12
Sagar,427,10253.04
Saharanpur,132,3724.93
Saharsa,214,1686.47
Sahibganj,352,2192.7
Sahibzada Ajit Singh Nagar,52,1107.64
Saiha,288,1972.91
Salem,608,5218.03
Samastipur,221,2901.48
Samba,22,982.15
Sambalpur,372,6726.08
Sangli,531,8562.78
Sangrur,53,3599.09
Sant Kabir Nagar,186,1598.89
Sant Ravi Das Nagar(bhadohi),198,1008.15
Saraikela-kharsawan,369,2647.19
Saran (chhapra),219,2641.65
Satara,527,10506.7
Satna,429,7497.61
Sawai Madhopur,108,5037.18
Sehore,445,6568.57
Senapati,272,3482.58
Seoni,456,8752.68
Serchhip,285,1151.44
Shahdol,460,5685.24
Shahid Bhagat Singh Nagar,39,1300.95
Shahjahanpur,152,4653.05
Shajapur,436,6299.65
Sheikhpura,228,638.58
Sheohar,205,288.15
Sheopur,418,6544.05
Shimoga,568,8444.48
Shivpuri,423,10472.55
Shrawasti,181,2504.72
Shupiyan,13,544.55
Siddharth Nagar,184,2831.91
Sidhi,462,4775.02
Sikar,111,7694.76
Simdega,367,3783.33
Sindhudurg,529,5071.6
Singrauli,463,5779.36
Sirohi,117,5159.23
Sirsa,79,4239.52
Sitamarhi,206,2330.67
Sitapur,154,5779.71
Sivaganga,622,4253.53
Sivasagar,311,2634.73
Siwan,218,2222.84
Solapur,526,14904.17
Sonbhadra,200,6781.12
Sonipat,76,2157.99
Sonitpur,306,5198.32
South,98,253.79
South 24 Parganas,343,5574.66
South Andaman,640,2431.9
South Garo Hills,295,1922.48
South Goa,586,1949
South West,97,434.51
Sri Potti Sriramulu Nellore,550,13122.95
Srikakulam,542,6321.53
Subarnapur,392,2356.36
Sultanpur,179,4416.19
Sundargarh,374,9717.62
Supaul,208,2397.76
Surat,492,4332.22
Surendranagar,475,10502.37
Surguja,401,15729.29
Tamenglong,273,4193.31
Tapi,493,3154.6
Tarn Taran,50,2393.16
Thane,517,9521.86
Thanjavur,620,3393.76
The Dangs,489,1763.61
The Nilgiris,611,2554.33
Theni,624,2853.55
Thiruvallur,602,3257.58
Thiruvananthapuram,601,2179.26
Thiruvarur,619,2272.71
Thoothukkudi,627,4632.3
Thoubal,276,713.45
Thrissur,594,3026.59
Tikamgarh,424,5066.82
Tinsukia,309,3794.67
Tirap,254,2030.83
Tiruchirappalli,614,4510.33
Tirunelveli,628,6800.04
Tiruppur,633,5204.38
Tiruvannamalai,606,6185.79
Tonk,120,7250.27
Tuensang,267,2469.16
Tumkur,571,10615.02
Udaipur,130,11917.68
Udalguri,326,2040.49
Udham Singh Nagar,67,2753.02
Udupi,569,3866.54
Ujjain,435,6092.08
Ukhrul,279,4455.61
Umaria,431,4588.14
Una,29,1540.53
Unnao,156,4597.5
Upper Siang,252,6767.16
Upper Subansiri,249,6416.6
Uttar Bastar Kanker,413,6800.03
Uttar Dinajpur,330,3226.17
Uttara Kannada,563,10191.08
Vadodara,486,7517.84
Vaishali,220,2004.07
Valsad,491,3000.06
Varanasi,197,1549.45
Vellore,605,6070.18
Vidisha,443,7306.57
Viluppuram,607,7186.76
Virudunagar,625,4385.8
Visakhapatnam,544,11432.71
Vizianagaram,543,5593.31
Warangal,540,12805.76
Wardha,504,6309.36
Washim,502,5196.07
Wayanad,590,2129.79
West,96,122.1
West Garo Hills,293,3345.71
West Godavari,546,7768.89
West Kameng,246,5266.12
West Khasi Hills,296,5227.27
West Nimar,440,8057.53
West Siang,250,7939.45
Wokha,264,1626.2
Y.s.r.,551,15154.57
Yadgir,580,5283.76
Yamunanagar,71,1737.89
Yanam,634,37.83
Yavatmal,510,13530.57
Zunheboto,263,1260.02
