DISTRICT,101,DN_00,DN_01,DN_02,DN_03,DN_04,DN_05,DN_06,DN_07,DN_08,DN_09,DN_10,DN_11,DN_12,DN_13,DN_14,DN_15,DN_16,DN_17,DN_18,DN_19,DN_20,DN_21,DN_22,DN_23,DN_24,DN_25,DN_26,DN_27,DN_28,DN_29,DN_30,DN_31,DN_32,DN_33,DN_34,DN_35,DN_36,DN_37,DN_38,DN_39,DN_40,DN_41,DN_42,DN_43,DN_44,DN_45,DN_46,DN_47,DN_48,DN_49,DN_50,DN_51,DN_52,DN_53,DN_54,DN_55,DN_56,DN_57,DN_58,DN_59,DN_60,DN_61,DN_62,DN_63,mean,sum,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,MSL_1,MSL_2,MSL_3,MSW_1,MSW_2,MSW_3,CHH_1,CHH_2,CHH_3,FC_1,FC_2,FC_3,BF_1,BF_2,BF_3,EMP_1,EMP_2,EMP_3,asset_1,asset_2,asset_3
Cuddalore,617,0.74,0,0,0,1.1,19.7,237.09,396.89,402.34,425.96,406.28,322.59,235.19,195,146.69,87.83,83.78,56.55,53.56,58.11,49.12,25.38,26.81,28.94,29.03,21.17,15.97,18.29,16.03,17.51,13.45,11.41,14.86,13.97,10.55,10.17,14.27,8.55,11.2,7.36,8.53,8.55,7.26,8.32,6.24,8.79,8.42,7.49,10.94,8.44,7.73,7.79,5.79,5.78,13.09,6.06,11.05,14.57,10.09,14.56,17.37,8.32,2.73,0,138449.55,52625937540,12.9,0,0.37,0,0,0.88,1.46,18.5,2.31,0.45,15.7,12.2,3090,87.9,437,0,17.1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Cuttack,381,1153.9,0,0,0,230.04,651.34,472.4,325.97,192.77,161.63,111.72,92.67,65.52,60.36,31.01,33.05,22.24,20.02,29.6,13.52,17.03,8.98,10.41,8.67,6.16,9.39,9.85,6.12,4.78,5.66,6.12,7.3,2.18,3.29,5.25,3.19,7.8,3.2,3.28,2.26,3.86,3.27,4.33,4.79,4.27,8.52,4.68,4.12,2.43,7.26,2.44,6.5,4.56,6.96,4.79,3.74,5.71,2.52,3.19,7.99,4.33,8.4,17.86,15.27,69974.4,29577945495,4.65,0,0.9,0,49.4,78.1,1.6,101,627,7.02,64.7,2.82,1420,74,1450,0,55.2,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
Dadra & Nagar Haveli,496,0,0,0,0,6.38,44.24,52.39,30.79,22.63,17.37,19.39,18.69,14.53,8.37,8,9.05,9.29,7.97,4.75,10.11,12.62,7.5,6.47,8.42,9.88,13.64,15.98,5.55,7.23,10.27,7.12,4.09,4.53,1.6,2.62,2.48,0.76,4.62,3.34,1.55,4.71,0.84,4.39,3.28,0.73,2.37,2.82,4.74,3.66,3.11,2.53,1.57,2.53,5.71,4.12,0.76,0.84,3.02,3.35,4.03,3.32,1.51,11.19,4.03,194143.44,10258931474,1.35,0,0,0,1.27,18.6,2.51,0,98.7,25.3,0.42,1.54,80,3.88,259,0,0.81,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Dakshin Bastar Dantewada,416,8379.4,0,0,0,43.85,122.89,75.07,37.57,37.41,19.95,17.74,13.75,13.4,14.02,8.23,5.77,11.2,5.86,9.18,1.7,2.55,3.05,4.66,3.22,4.75,3.99,5.51,5.68,0,0.85,1.61,1.53,1.71,2.29,0.85,2.29,0.85,2.54,2.47,1.61,1.71,0.85,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5262.48,4950575938,0,0,13.9,0,283,472,2.04,2.49,7200,207,2.31,0,39.4,1.43,653,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Dakshin Dinajpur,331,832.29,0,0,0,131.92,663.28,264.83,97.88,39.46,34.78,13.45,11.64,11.94,5.63,9.88,7.69,2.27,3.73,2.27,2.35,2.27,5.36,3.98,1.54,2.35,3,1.54,0,1.54,0.73,0,1.54,0,3,0,0,0.73,1.71,0.73,0,0.73,1.54,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35567.62,8571574773,0,0,0,0,0,0.18,0,0,0,0,0,0,2140,24,4.21,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
Dakshina Kannada,575,907.17,0,0,0,1029.41,993.89,460.32,215.17,170.06,111.31,79.56,59.53,50.86,45.58,42.44,35.86,24.61,24.87,16.17,11.85,15.55,16.84,8.71,8.65,12.41,4.01,7.46,9.02,5.49,6.01,2.81,3.16,5.91,9.07,4.33,2.34,4.89,5.77,4.18,0.87,3.43,5.94,4.01,3.23,7.51,2.87,5.83,6.02,8.21,8.23,4.98,3.23,2.44,4.01,6.03,4.37,5.06,7.78,10.21,8.2,12.49,19.63,25.83,4.1,71703.83,33959241491,17.1,0,1640,0.47,6.15,18,2.14,2.98,1330,98.5,5.49,16.9,47.6,46.7,1360,0,1.67,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Daman,495,0,0,0,0,0,0,0.5,0.06,0,0.32,0,0.84,0.5,0.73,0,0,0,1.34,0.03,0.49,0.5,0.5,0,0.14,1.37,0.4,0,1.07,0.76,0.46,0.23,0.83,1.08,1.66,0.89,0,1.14,3.27,1.33,0.44,0.84,0.78,0.76,1.22,1.05,0.52,2.43,0.76,3.03,0,1.59,0.63,2.44,2.68,0,2.27,2.51,3.37,2.11,3.54,4.13,7.95,6.26,1.81,442683.66,3491301935,21.6,0,0,0,0.19,0.91,0.25,0,0.81,0,0.25,0,28.1,9.95,11.1,0,0.37,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Damoh,428,6037.19,0,0,0,293.03,488.95,202.69,83.12,39.4,24.28,16.89,15.09,11.8,13.1,10.81,4.76,10.51,5.32,4.77,3.94,8.61,6.96,8.6,3.03,3.11,2.38,2.29,1.56,1.56,6.22,3.03,0.82,2.38,2.21,2.56,1.48,2.29,0.74,0.82,0.74,0,2.46,0.82,0,3.11,0.82,0.82,1.56,0.91,0.82,0,0,1.48,0.74,2.47,0.74,1.64,0,0.74,0.74,2.38,0,2.21,0,12511.92,10099829736,0,0,0,0,8.47,10.7,2.83,60.7,2690,0,153,0,3730,12.9,685,0,0.18,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Darbhanga,215,1759.3,0,0,0,21.98,304.03,58.89,33.34,15.29,8.75,12.93,6.57,3.62,3.15,2.25,4.51,0.8,3.86,4.59,1.53,1.62,2.33,0.8,2.42,1.45,0.72,2.42,2.25,0.8,0,0.8,2.98,3.62,1.53,2.33,2.25,0,1.53,0,1.62,3.78,0,0.72,0.8,0.8,2.42,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16753.67,4283323110,0,0,0,0,0,0,0,0,0,0,0.22,0.81,2120,39.2,129,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
Darrang,325,858.62,0,0,0,177.66,309.98,113.32,55.26,25.9,17.86,7.41,7.61,9.79,0.8,6.35,3.6,3.46,0.72,3.05,0,0.08,0,1.51,1.45,1.45,1.53,0,0,0,0,0.15,0,0.16,0,0,0,0,0,0.35,0.51,0.23,0.69,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0.06,0.2,0.12,0,0,0,0,0,0,25371.99,4586969795,87.9,0,4.53,0,0,11.4,1.65,74.3,20.8,4.77,106,12.4,1080,7.13,161,0,37.8,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
Datia,422,1329.71,0,0,1.23,130.17,187.73,60.52,57.93,25.16,14.6,6.54,9.07,4.69,4.85,5.4,4.44,5.42,1.54,3.07,0.73,0.81,0.9,0.73,0,0,1.45,2.34,0.73,0.81,2.99,0.9,1.45,0.81,0.81,0.81,0.73,0.81,0,0,0,0,3.8,0,0,1.45,0,1.53,1.62,0,0.81,0.9,0.81,0.73,0.9,1.45,0.73,0.81,0.81,0,0,0,0,0,0,21112.95,4443631103,0,0,0,0,3.29,0,0,1.15,11.2,0,0.44,0,1850,10,5.18,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
Dausa,109,107.92,0,0,0.8,35.56,234.89,450.25,493.05,514.45,387.46,361.28,211.3,153.45,110.22,73.21,48.54,38.01,37.49,27.27,22.56,15.26,16.15,8.24,11.27,7.32,8.28,9.68,5.27,9.28,6.17,5.45,6.87,1.52,3.12,3.93,5.27,2.24,4.56,4.47,0,3.3,3.68,5.2,0.72,0.72,6.16,3.21,0.72,1.44,1.44,0.8,0.8,0.72,0.8,0.8,1.6,1.44,0.72,0,0.72,0.72,0,0,0,85417.37,33430636302,0,0,0,0,0,0,0,0.05,1.84,0,2.58,0,3460,9.58,0.19,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
Davanagere,567,1006.09,0,0,0,182.51,1723.18,1458.54,691.09,339,135.5,74.67,46.3,30.66,32.2,10.7,19.18,18.03,13.53,8.16,11.53,8.15,12.41,4.16,5.12,5.72,6.83,6.14,3.38,5.72,1.65,6.34,3.2,3.39,3.39,5.81,3.29,2.42,3.35,0.78,3.37,2.04,0.78,0.78,1.73,2.43,2.43,3.21,1.49,0.78,2.52,3.29,2.83,2.43,1.65,1.65,1.74,1.83,3.38,2.51,0.78,2.43,8.33,0,0,57460.89,35487386694,10.1,0,0,0,0.55,53.9,3.22,13.9,202,5.89,19.8,8.43,4910,37,681,0,1.71,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
Debagarh,373,2590.95,0,0,0,38.88,95.76,31.24,14.95,11.56,3.56,0,3.43,4.25,1.67,3.05,1.58,0,1.5,2.33,0.75,1.58,0.75,0.83,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4589.68,1392355340,141,0,2.01,0,220,395,4.76,21,810,9.91,20.6,2.22,199,0,984,0,0.83,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
Deoghar,350,1590.5,0,0,0,15.61,335.82,142.66,77.55,53.83,33.34,20.25,15.3,13.96,16.33,9.3,6.86,7.6,5.96,8.93,4.65,6.04,5.22,3.1,3.92,0.82,6.21,6.93,1.63,1.55,2.28,1.47,0,0.91,1.47,1.47,1.55,1.47,0.82,1.63,0,2.36,0,3.1,1.55,0.73,3.02,0.82,0.82,0.82,0,0,2.37,2.55,0,3.18,0.91,0.82,2.45,0,0.73,1.55,1.47,0,0,29994.61,8054931724,0,0,0,0,0.19,1.72,1.33,21.5,29.7,0,16.8,0,2170,17.1,174,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
Deoria,190,1429.58,0,0,0,239.37,499.8,144.63,71.83,41.82,26.08,18.75,8.22,13.89,9.18,3.73,2.83,0,1.52,2.34,3.78,2.34,1.6,3.05,2.33,1.44,0,0.8,0,0.8,0.8,1.6,0.72,1.52,1.61,0,2.97,1.44,0,0,0.72,0.72,0.8,0.72,1.6,0,0,1.44,0.8,2.17,0,0.8,0.89,0.72,1.52,0.8,0,0,0,0,0,0,0,0,0,26084.34,7469648701,0,0,0,0,0,0.41,0.19,15.5,0,0,13.9,0,2450,23,52.4,0,2.27,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
Dewas,437,4679.85,0,0,4.9,351.59,754.48,517.88,247.03,103.95,50.22,33.93,33.6,17.95,25.58,15.61,11.04,9.5,8.11,7.1,4.05,5.72,4.54,3.22,3.4,3.88,2.39,2.31,1.66,2.39,5.36,0.74,2.31,0.74,0,0,2.23,1.57,1.57,3.22,0.82,0.74,0,3.88,1.57,1.57,0.82,1.48,1.74,0.74,2.31,0.83,1.57,0.74,3.23,2.48,0.74,0.82,2.23,1.57,3.05,2.47,0.74,2.31,3.31,22287.07,16912507747,17.9,0.18,0.13,0,33.2,36.2,12,6.97,1350,1.74,4.09,0.24,4740,43.7,710,0,0.89,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
Dhamtari,412,2477.98,0,0,0,11.1,215.97,353.3,427.5,307.02,98.78,34.9,23.61,18.36,7.52,9.56,6.29,4.83,1.59,7.33,4.69,4.75,3.39,2.3,5.04,0,0.75,0.75,2.44,2.35,0.84,2.35,1.13,1.68,0,0,2.74,0.84,0.84,0.75,1.51,0.75,2.53,0,0.95,0.16,0.75,0.84,0.93,0,0,0,1.68,0,2.43,0,1.51,0,0.75,0,0,0,0,0,0,28995.22,12630418672,55.8,0,0.42,0,388,473,6.92,7.56,1240,7.92,6.76,18,1670,6.5,172,0,6.11,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Dhanbad,354,489.38,0,0,0,2.95,206.95,167.68,116.9,81.55,93.63,63.07,55.22,44.04,43.64,35.94,35.54,36.24,31.72,20.71,25.27,22.41,18.55,19.75,18.7,13.12,17.24,19.18,12.67,21.02,16.71,18.7,15.05,16.07,15.2,18.63,11.73,8.36,10.12,17.24,14.77,10.32,7.22,9.69,9.04,12.74,8.46,11.16,4.13,9.43,10.16,8.07,6.22,13.13,8.05,11.74,10.45,14.91,12.56,13.3,14.93,14.03,12.55,11.9,9.53,138367.13,32355265373,17.3,0.23,0.23,0,20.6,52.7,31.3,46,993,1.07,24.7,3.96,489,112,335,0,2.6,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
Dhar,438,4485.37,0,0,2.32,322.57,1269.63,804.47,452.74,292.59,147.57,67.45,39.82,26.98,31.58,20.37,12.76,19.63,11.7,12.8,7.72,7.6,9.92,8.03,2.11,7.82,4.84,1.01,1.04,2.81,2.43,1.65,3.23,1.28,2.4,1.65,3.72,4.05,3.97,2.15,3.06,2.16,3.31,3.15,3.71,3.14,1.65,0.74,0.66,0,5.39,3.23,1.57,0.83,1.8,2.66,1.49,0.83,1.57,1.76,3.95,3.01,1.56,0,0,30435.46,26979823674,1.89,0,0,0,0.7,2.13,7.5,4.62,10.2,0,8.32,0.55,7470,126,510,0,13.2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Dharmapuri,630,821.12,0,0,0,353.49,674.15,597.48,475.54,396.93,288.59,306.16,194.83,110.59,72.8,52.56,39.16,23.9,23.1,16.11,9.98,7.43,6.92,5.68,2.72,4.2,0.97,5.96,2.63,1.57,1.75,0.79,0,0.79,0,1.66,1.57,2.36,1.57,0.87,0.87,1.66,0.87,0.79,0,0,0,0,0.79,1.57,0.79,1.75,0,1.75,0,0,0,0.97,0,0,0,0,0,0,0,63123.89,29344942968,16.3,0,88.2,0,33,249,2.66,1.57,764,8.16,12.4,6.21,908,16,2410,0,1.12,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Dharwad,562,869.99,0,0,0,435.37,874.36,663.04,401.68,227.63,126.97,103.67,75.28,69.4,59.31,32.03,25.96,18.29,15.46,12.87,15.54,16.34,13.89,12.52,9.49,8.29,6.64,4.92,4.92,8.38,5,5.01,7.51,5.61,4.83,5.87,4.05,11.66,3.28,4.15,4.83,5.79,4.14,3.97,4.83,3.28,2.42,3.46,5.79,5.88,2.69,3.36,1.73,4.14,4.32,4.05,1.73,3.28,3.28,3.19,9.49,3.11,1.64,9.93,5.96,68620.97,30606275717,0,0,0,0,8.25,88.3,0.69,157,270,18.3,3.5,0,3170,36.8,518,0,0.92,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Dhaulpur,106,2056.05,0,0,0,12.28,421.65,195.82,94.45,47.21,34.46,23.19,24.98,13.62,5.38,12.02,10.73,6.88,2.96,2.32,6.9,3.12,3.53,3.6,1.52,4.56,1.6,2.32,1.6,3.05,0.89,0.72,0.8,0,1.69,1.69,2.88,0.8,1.52,0.8,1.44,0.8,0.72,0,0,0.8,0.8,2.41,0.72,1.52,0.72,1.52,0.8,0.72,0,0,1.69,0.8,0,2.32,0.72,0,0.72,0.72,0,23737.82,8075605803,0,0,0,0,0.82,0,1.13,204,34.9,0,154,0,2590,11,35.7,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
Dhemaji,308,2398.03,0,0,0,83.16,54.29,20.02,13.15,9.32,4.98,1.59,4.72,5.04,0.72,2.31,0,0.99,3.08,0.93,0.02,0,1.51,1.07,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4332.87,1278974143,39.7,0.18,123,0,0.22,7.82,10.3,70,58.8,4.81,100,21,1190,1.45,942,0.22,41.3,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
Dhenkanal,383,2546.06,0,0,0,269.93,657.33,325.28,150.12,101.65,69.85,54.94,31.17,29.63,13.5,13.9,25.67,19.18,11.97,11.93,7.71,6.46,7.94,7.54,5.89,4.14,4.27,5.02,2.52,1.77,1.96,4.69,2.43,1.51,4.77,1.51,1.24,3.04,1.68,5.44,6.36,0.64,0.84,3.07,4.4,5.41,1.59,0.84,0.66,0.75,4.61,0.84,3.45,0.75,3.36,1.16,2.5,0,0.75,3.19,0,2.48,4.51,4.11,0,34324.11,16497783677,1.47,0,1.19,0,62.2,231,4.31,40.4,1320,6.34,24.3,1.34,735,5.41,2030,0,8.34,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
Dhubri,301,1811.13,0,0,0,122.34,217.86,48.37,30.35,18.33,14.36,11.32,3.87,1.45,7.49,1.53,1.79,1.61,1.53,2.34,0,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10902.2,2799517855,86.7,0.23,6.26,0,0.46,14.8,5.67,124,74.9,0.72,205,24.6,1550,5.37,136,0.23,64.4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
Dhule,498,2797.77,0,0,0.83,1866.64,1317.37,494.5,223.49,117.66,63.67,42.29,28.43,25.19,21.26,18.22,15.04,11.7,6.36,7.28,9.88,8.02,6.93,3.18,4.19,3.84,3.09,3.93,4.01,4.01,1.67,3.35,4.78,3.35,2.51,3.09,1.59,1.5,2.52,2.26,3.09,0.75,0.75,1.59,3.19,1.77,2.51,2.34,0.84,0.75,0,1.59,4.02,0.84,1.51,1.67,0.75,1.86,0.75,3.18,1.59,1.67,0.75,5.7,6.19,34842.29,26969381532,0.57,0,0,0,2.25,19.5,9.38,7.02,178,10.7,14.4,1.22,5430,151,1360,0,5.58,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
Dibang Valley,257,7411.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,689,44,1.89,2.19,3820,0,156,53.8,4.51,2020,0.46,0.45,0,6.49,578,3.79,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
Dibrugarh,310,866.34,0,0,0.79,556.18,380.63,321.83,154.92,93.56,74,75.45,70.85,75.56,59.19,54.47,42.67,46.94,43.27,33.22,30.84,24.62,24.84,23.63,21.81,24.89,12.03,17.43,13.98,14.34,24.58,11.39,9.88,10.68,15.06,10.6,10.79,12.5,9.33,13.32,7.81,8.28,5.5,9.08,5.34,11.23,8.2,7.81,5.81,12.99,3.1,6.93,1.51,5.18,2.15,3.74,0,2.95,0.8,0.72,0,0,0,0,0,76210.63,29252098776,128,0.24,179,0,0,24.4,14.5,154,563,23,203,24.7,812,28.9,1100,0,143,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
Dima Hasao,315,4547.21,0,0,0,69.97,112.49,71.6,32.74,22.76,8.59,8.77,5.26,8.43,4.7,5.43,3.9,2.44,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137.22,2255675632,4.8,0,3190,0,0.36,235,3.23,0.19,1320,5.37,0,9.99,21.2,5.48,114,0,0.23,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
Dimapur,265,283.25,0,0,0,59.9,122.05,116.53,72.45,17.71,11.1,7.45,3.72,3.38,7.44,4.28,4.69,1.45,3.08,4.64,3.79,4.48,4.37,4.58,3,2.78,2.56,4.04,0.54,1.86,3.73,2.05,0.06,2.71,2.18,3.23,1.61,2.18,1.61,0.89,3.96,2.29,2.51,1.61,3.06,2.5,1.59,2.35,1.45,0.81,1.45,0.73,2.26,1.53,1.53,2.43,2.34,1.53,0,0,0,0,0,0,0,65290.35,5906910903,0,0.09,197,0,0.22,62.7,0,0.19,312,1.72,0.88,0,56,5.56,175,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
Dindigul,612,890.44,0,0,0,441.7,702.19,885.02,825.57,550.5,406.91,312.02,238.74,148.28,124.45,80.53,71.77,62.8,47.14,34.83,26.63,27.9,16.82,11.8,12.94,20.44,11.01,9.61,7.66,8.73,5.2,4.22,3.34,9.25,6.69,5.89,3.34,1.67,1.67,4.05,1.67,2.55,4.05,2.38,2.38,0.79,0.88,3.25,0.98,4.93,1.76,0.88,0.88,2.55,3.44,0.88,2.46,2.46,1.77,0.79,2.46,3.17,1.76,0,0,73398.85,45587935361,0,0,795,0,35.8,248,0.85,0,295,6.4,2.48,0.6,1600,37.6,3050,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Dindori,453,5604.33,0,0,0,18.81,37.8,11.81,8.5,8.57,2.31,3.05,0.74,1.65,3.05,0.82,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996.53,619824472,0,0,1.34,0,498,550,0.95,0.24,2880,0.61,0.24,0,1580,1.47,195,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Diu,494,0,0,0,0,0.8,0.26,0,0,0,0.02,0,0.11,0.55,0.68,2.85,0.75,4.28,4.9,3.66,0.69,4.66,1.99,1.59,0,0,0.2,0.41,0.2,0,0.86,0,0.24,0.93,0,0,0,0.27,0,0,0.76,0,0.89,0,0.35,0,0,0,0,0.3,1.31,0,0,0.81,0.33,0,0,0,0,0,0,0,0,0,0,205108.44,785841214.5,1.04,0,0.01,0.1,0,0.16,1.56,2.48,0.4,0,2.33,0.66,16.6,0.37,7.2,0,2.72,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Dohad,485,1076.43,0,0,0,152.87,1281.49,559.95,228.16,99.14,71.13,40.72,21.05,11.9,10.07,2.97,0,1.57,0.74,0.83,3.14,2.39,1.49,2.31,1.57,1.49,1.57,0.74,0.83,0,0.83,1.65,0,0.74,0.92,2.31,1.66,0.74,0,1.57,0.83,0,0.92,0.92,0.83,0.83,0.83,1.65,0.83,0.74,0.74,0,0,0,0.74,0.74,0,0,0,0,0,0,0,0,0,39772.2,15592068695,0,0,0,0,2.08,55.3,1.75,11.5,31.5,0,10.3,0,2940,17.2,525,0,0.85,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
Dumka,362,3438.3,0,0,0,10.49,154.29,41.22,26.08,15.37,10.38,10.87,7.11,7.85,3.75,4.91,5.55,2.46,3.28,1.47,0,0,0.74,3.19,0.74,0,2.29,0.82,0.74,1.55,2.29,0,0,1.55,0,0.82,1.47,0.74,0,1.55,0,1.55,0,0.82,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6730.32,2794369943,19.9,0,0,0,18.9,142,4.15,3.67,226,0.24,3.57,0.7,2860,6.59,481,0,1.49,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
Dungarpur,124,1980.19,0,0,0,26.13,994.55,433.36,150,51.08,32.13,12.68,13.95,7.23,8.04,5.43,6.98,8.79,5.5,2.38,5.59,5.5,3.77,2.3,2.3,3.85,2.38,0.74,1.56,1.48,2.47,2.38,0,1.56,1.64,0,1.56,0.82,1.65,0,0,0.74,1.56,0.91,0,0,0,0.74,0,1.56,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28111.79,11680208368,3.17,0,0,0,0.24,1.05,11.5,12.5,56,0,7.18,2.52,3400,7.12,286,0,2.71,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
Durg,409,1294.58,0,0,0,15.94,873.61,2079.25,1550.78,806.85,422,228.8,191.59,171.66,116.32,89.49,76.35,58.44,42.78,39.1,27.61,30.89,21.03,17.29,18.45,19.29,15.95,13.81,19.06,12.02,15.83,18.67,13.57,10.01,7.1,9.28,10.88,7.1,8.4,8.02,8.11,7.64,6.93,8.02,2.63,4.68,5.14,5.43,4.86,3.35,6.36,7.37,7.27,3.18,6.85,3.34,3.84,6.44,6.35,7.28,7.1,7.93,9.53,16.11,81.41,77595.97,71922199208,27.5,0,0.22,0,29.6,255,20.3,5.04,2780,0.69,4.6,14.2,4200,107,1150,0,6.37,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
East,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.26,550965.3,4111612043,0,0,0,0,0,0,0,0,0.13,0,0.24,0,1.45,63.2,0.23,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
East Garo Hills,294,2689.66,0,0,0,23.38,131.96,48.29,13.26,6.15,4.78,4.86,1.54,2.18,3.24,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4234.4,1383478078,0,0,354,0,1.38,89.6,0.42,0,2340,2.48,0,0,32.8,0,115,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
East Godavari,545,4069.47,0,0,0,429.84,641.79,703.58,766.89,868.83,609.89,478.85,385.8,304.55,235.33,191,150.88,154.4,97.09,76.09,74.91,57.67,46.77,26.86,40.65,39.66,22.45,21.09,27.95,21.54,11.13,15.34,16.95,13.16,10.32,12.48,10.69,7.69,12.35,11.5,9.05,10.63,4.18,7.43,9.32,10.02,6.5,4.2,9.41,1.67,6.05,4.22,9.58,3.19,4.89,3.52,5.74,5.67,4.11,7.55,3.44,4.97,5.56,14.34,22.86,65597.62,74872273823,182,0.22,177,0,16.3,333,16.5,63.2,3490,16.1,51.9,607,2970,184,2700,0.78,36.6,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
