DISTRICT,101,DN_00,DN_01,DN_02,DN_03,DN_04,DN_05,DN_06,DN_07,DN_08,DN_09,DN_10,DN_11,DN_12,DN_13,DN_14,DN_15,DN_16,DN_17,DN_18,DN_19,DN_20,DN_21,DN_22,DN_23,DN_24,DN_25,DN_26,DN_27,DN_28,DN_29,DN_30,DN_31,DN_32,DN_33,DN_34,DN_35,DN_36,DN_37,DN_38,DN_39,DN_40,DN_41,DN_42,DN_43,DN_44,DN_45,DN_46,DN_47,DN_48,DN_49,DN_50,DN_51,DN_52,DN_53,DN_54,DN_55,DN_56,DN_57,DN_58,DN_59,DN_60,DN_61,DN_62,DN_63,mean,sum,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,MSL_1,MSL_2,MSL_3,MSW_1,MSW_2,MSW_3,CHH_1,CHH_2,CHH_3,FC_1,FC_2,FC_3,BF_1,BF_2,BF_3,EMP_1,EMP_2,EMP_3,asset_1,asset_2,asset_3
Amritsar,49,0,0,0,0,0,4.02,17.18,43.15,59.26,80.23,113.12,146.54,213.48,280.6,284.87,250.48,161.59,147.43,111.65,77.85,72.67,49.12,53.4,39.58,24.39,19.92,20.24,22.64,27.97,20.47,12.97,12.69,11.64,18.87,8.75,8.13,6.5,10.86,11.09,7.34,3.59,3.51,9.72,8.03,4.36,8.42,5.04,2.83,7.03,4.43,7.88,8.78,4.29,6.12,4.43,8.96,4.35,5.28,4.6,9.72,10.16,8.49,18.19,50.92,160314.02,50271876458,0,0,0,0,0,0.87,0,0.37,0,0,1.22,0,2550,99,13.3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Anand,482,260.83,0,0,0.92,171.59,205.18,284.33,310.68,329.71,231.17,209.91,191.91,181.47,129.92,91.95,47.01,28.42,27.08,23.53,15.35,16.26,14.54,11.87,10.73,7.37,5.38,9.12,7.73,7.86,3.32,3.81,2.32,7.53,3.81,1.49,1.75,3.89,2.57,3.06,1.65,4.15,2.23,3.89,0.83,1.57,0,1.49,0,3.14,2.48,1.57,2.32,3.06,1.49,0,1.57,2.49,0.92,3.14,3.89,2.32,1.57,4.72,0.92,87931.24,27883107432,71.9,0,0,0,0,0,1.57,87.6,0,0,89.3,6.64,2440,66.2,122,0.68,27.1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Anantapur,553,3903.15,0,0,0,161.65,4376.92,4647.12,2621.38,1266.08,671.62,379.09,220.5,145.74,105.79,86.6,75.98,61.48,53.36,35.67,32.16,26.13,31.72,29.61,14.48,23.84,17.52,15.8,10.39,10.74,8.05,17.99,13.52,8.15,12.31,7.71,9.09,6.6,7.98,5.86,5.62,3.38,4.94,7.27,4.07,3.56,7.28,6.87,6.49,4.92,4.35,4.94,0.96,2.36,5.73,3.47,5.03,4.84,1.65,2.42,0.78,2.52,3.38,3.98,1.64,56167.4,112000000000,4.64,0,0,0,0.41,40.1,6.72,273,39.4,1.11,24.8,0.46,16600,94.5,2130,0,4.73,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Anjaw,260,6513.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,653,275,1.88,3.02,3930,6.27,58.9,79.2,5.65,1410,10.7,3.49,1.33,2.22,53,1.65,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
Anugul,384,4049.85,0,0,0,205.79,612.7,314.16,169.84,130.33,78.87,54.93,45.45,37.12,37.76,44.06,22.34,24.49,22.18,20.4,20.58,18.85,22.83,20.1,13.97,19.12,16.18,16.66,10.29,13.47,11.5,7.11,12.63,12.41,13.81,10.21,13.24,7.35,10.55,15.32,8.88,9,7.12,9.65,7.93,8.67,8.7,7.03,8.31,14.31,6.52,4.85,8.97,6.28,7.86,12.66,8.37,8.88,7.96,9.28,8.7,7.98,9.46,3.27,0.84,44897.51,30727091091,83.2,0,30.5,0.23,390,535,19.2,29.2,2160,19,32.8,4.48,500,8.66,2540,0,3.78,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
Anuppur,461,2820.34,0,0,0,228.24,217.89,76.72,57.31,50.47,31.42,28.86,26.64,21.96,24.4,17.67,17.73,15.36,18.85,13.41,14.1,15.08,14.26,12.19,5.55,5.88,11.12,2.39,5.76,1.56,4.22,5.44,4.25,1.72,1.48,3.05,1.94,1.64,1.97,0,0.4,0,0,0.68,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21448,8857496122,0,0,0.18,0,66.9,101,1.51,15.4,1570,0.46,13.4,1.08,1810,4.57,197,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
Araria,209,2125.1,0,0,0,55.46,382.42,102.89,42.98,30.77,15.91,10.7,4.96,7.68,4.74,5.3,3.88,3.14,5.4,0,3.15,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13126.12,4121854677,0,0,0,0,0,0.24,0,0.42,0.24,0,0,0,2560,10.8,238,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
Ariyalur,616,0,0,0,0,0,25.55,338.33,578.19,336.71,217.64,111.66,69.03,44.81,37.14,26.26,25.88,8.83,13.34,10.53,11.81,5.93,5.97,8.66,14.26,7.25,3.18,5.7,3.68,2.32,3.33,6.05,4.11,1.44,3.33,6.41,2.54,0,2.55,1.67,0.88,0.79,0.98,0,0,1.58,0.79,0.79,0.88,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89810.71,17977284368,0,0,0,0,0,0,1.01,2.82,0,0,3.35,0.42,1480,6,457,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Arwal,240,636.01,0,0,0,0,10.64,4.18,4.05,2.4,5.03,1.38,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721.68,200867943.1,0,0,0,0,0,0.47,0.41,16.6,0.41,0,3.41,0,622,18.5,2.83,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
Ashoknagar,459,4171.51,0,0,0,111.26,170.64,70.87,45.71,28.47,23.55,18.76,8.89,11.64,7.01,6.57,3.19,3.33,3.6,7.06,0.73,4.15,2.45,0.73,1.55,2.36,0.81,2.28,1.55,2.28,0.73,1.47,0,0.73,1.63,2.93,0,0,1.55,0,0.73,0,0,0.81,0.73,0.81,0,0,0.73,0.81,0.81,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,8450.43,4412388621,58.7,0.18,0.35,0,9.62,6.18,3.35,12.7,438,0.64,29.1,2.04,3850,12.5,297,0,0.89,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
Auraiya,162,1050.78,0,0,0,113.51,311.65,180.44,98.01,57.45,36.38,18.62,10.6,8.6,12.12,9.86,8.51,5.21,4.57,3.13,4.57,2.24,6.26,4.74,3.93,3.93,1.61,0.72,3.77,0,0,3.05,0.72,0.72,3.05,1.44,2.24,2.96,0,3.21,0.72,1.44,0.8,0,0.72,1.44,5.37,0,2.41,0.72,2.96,1.52,2.32,0.72,0.72,0.8,0.8,1.52,2.33,0.8,0,0,0,0,0,36777.88,8291718539,0,0,0,0,0,0,0,2.86,0,0,1.67,0,1970,35,0.44,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
Aurangabad,235,2742.73,0,0,0,102.71,222.15,85.08,38.35,18.12,10.99,14.4,8.1,4.64,5.52,6.92,2.28,3.26,2.2,0.73,0.81,0.9,2.28,1.55,0.81,0.81,0.73,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9184.83,3329776014,0,0,0,0,21.2,30.7,1.2,24.9,64.2,0,17.5,0,3050,60.2,6.13,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
Aurangabad,515,1270.12,0,0,4.88,1870.31,3026.27,1615.75,747.23,372.51,213.71,123.96,101.53,72.14,61.95,62.64,41.16,31.2,29.51,24.62,25.35,23.71,20.99,16,18.37,16.09,15.27,16.11,14.6,15.18,16.01,7.5,9.6,6.14,4.21,5.56,3.96,7.25,10.19,8,8.09,8,5.91,3.12,3.2,3.12,4.72,6.58,5.74,7.18,7.33,1.6,6.66,5.65,6.49,4.63,5.73,1.52,8.68,4.14,6.58,7.07,11.12,11.39,41.97,61213.16,66245833196,97.7,0,0.27,0,1.14,13.7,10.4,0.61,17.3,0.46,2.12,6.69,9430,140,389,0,8.85,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Azamgarh,191,2650.75,0,0,0,602.05,541.22,217.64,59.59,41.99,27.21,10.2,9.34,8,10.13,3.06,7.9,2.42,7.8,5.48,3.48,5.39,2.25,3.59,2.98,1.45,2.17,3.06,2.17,1.53,3.7,1.45,2.42,0.8,0.72,1.53,0.72,0,1.53,0,2.33,1.7,2.17,2.33,0,2.98,0.81,0,0.72,0,0.81,1.45,0.89,1.61,1.53,0,1.53,1.53,1.62,0.81,0,0,0,0,0,22018,10509343952,0,0,0,0,0,0,0,16.4,0,0,18.4,0.23,4210,27.4,0.23,0,2.12,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
Badgam,2,958.12,0,0,0,33.22,65.97,27.73,17.39,13.71,12.6,12.34,7.89,13.75,3.42,8.01,8.72,5.63,5.59,4.65,6.3,6.71,4.91,2.97,4.83,3.5,5.07,3.48,2.75,0,2.84,2.53,1.81,2.83,3.57,2.08,2.16,1.41,2.5,4.45,3.5,0,1.18,0.74,1.34,1.58,0,0,2.08,1.5,2.11,0.74,1.47,0.74,0.72,0.38,0.71,0.43,0,0.05,0,0,0,0,0,29563.9,4587160749,1.25,114,0,0.22,0,59.4,0.19,3.19,10.6,0,452,1.45,554,45.3,35.4,6.44,1.12,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
Bagalkot,556,595.87,0,0,0,411.14,1113.81,962.04,649.3,537.33,444.68,365.66,290.17,205.91,172.14,141.93,119.06,80.59,77.23,57.41,55.61,46.83,37.5,19.12,27.94,18.4,18.64,14.49,8.34,11.52,5.5,9.28,3.45,6.63,4.04,4.9,5.77,6.61,5.75,4.22,4.73,2.32,4.21,1.73,2.41,3.09,1.55,0.77,0.86,2.49,2.41,1.63,0.77,0.86,0.86,0.96,0,0,0,0,0,0,0,0,0,78106.35,53751318820,145,0.18,0.01,0,0,1.34,42.6,275,19.3,0.23,7.74,13.2,5310,74.5,674,0,6.79,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
Baghpat,139,437.65,0,0,0,13.78,260.78,171.18,113.02,87.05,65.53,32.58,26.19,19.19,10.77,13.02,9.93,7.02,8.64,6.45,3.46,0.01,3.97,3.85,0.8,2.12,0.71,1.57,0.71,4.52,0.71,1.57,1.58,0.19,1.57,0.71,2.44,3.76,0.78,0.54,0.71,0.78,0.78,1.49,0.78,1.58,0.78,0.71,0,0.71,0,0.71,0.71,0,0.71,0,0,0,0,0,0,0,0,0,0,49800.81,7597045631,0,0,0,0,0,0,0,0,0,0,0,0,1260,40.8,32.4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
